GBD.term,n_total_studies,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit,total_attention_score
Acne vulgaris,228,1552.465116,932.8937107,72.6858196,1764,1296804
Acute glomerulonephritis,2,0.004651163,0.286511628,0.009302326,1,717
Acute hepatitis,815,1044.397532,7225.514767,332.2928803,1639,3220552
Acute hepatitis A,3,0,0.399996742,0.011053639,0,1422
Acute hepatitis B,323,518.6772205,1540.067902,134.1543798,770,1009729
Acute hepatitis C,481,500.7203116,5678.127779,197.0959503,819,2192831
Acute hepatitis E,4,25,6.405607477,1.018691589,50,15148
Acute lymphoid leukemia,288,1320,4417.688,241.6,1440,307552
Acute myeloid leukemia,153,15790.51058,1202.754649,90.04982157,15804,188631
African trypanosomiasis,0,0,0,0,0,0
Age-related and other hearing loss,1847,5634.694805,3383.121947,474.9454564,9782,91344099
Age-related macular degeneration,2405,11663.97786,14988.76927,1399.756865,18944,21816643
Alcohol use disorders,4102,26726.36667,21772.44008,2310.984892,43677,3103744
Alcoholic cardiomyopathy,0,0,0,0,0,0
Alopecia areata,70,301.0648599,653.895261,28.04313853,378,83188
Alzheimer's disease and other dementias,247,3404.190218,2329.978947,154.583446,6238,888854658
Amphetamine use disorders,0,0,0,0,0,10980
Anorexia nervosa,1785,1383.678571,3201.527205,324.7661514,7208,223112726
Anxiety disorders,86,3.76639703,77.74120963,11.07642183,107,433919
Aortic aneurysm,112,0.490986963,6.934803749,0.168186686,371,576534
Appendicitis,756,338.1348442,663.8203667,76.11362221,518,3352174
Asbestosis,0,0,0,0,0,0
Ascariasis,0,0,0,0,0,0
Asthma,29735,138849.52,148232.5886,7358.039066,299915,1080596785
Atopic dermatitis,659,13259.5145,8007.01671,471.5191652,14372,919456
Atrial fibrillation and flutter,3292,87417.68432,37246.72499,1397.454247,123422,179495070
Attention-deficit/hyperactivity disorder,10203,61890.93929,40972.33312,3544.950256,139992,996977082
Autism spectrum disorders,9,11.6,44.44,7.2,17,20933
Bacterial skin diseases,668,0.245761259,47.49230228,1.520483175,218,11170150
Benign and in situ cervical and uterine neoplasms,40,824.4095221,162.3752473,11.51480382,1070,18614883
Benign and in situ intestinal neoplasms,40,0,2.33366416,0.038697179,0,46962
