cause_name,cause_id,reference_score,mapped_trait_uri,notes
Other digestive diseases,1161,23587854,"MONDO_0004335,HP_0011024,HP_0004796",
"Other endocrine, metabolic, blood, and immune disorders",625,5182303,MONDO_0005151,
Other gynecological diseases,612,2166945,MONDO_0002263,
Other cardiovascular and circulatory diseases,507,1450282,MONDO_0004995,
Liver cancer due to NASH,996,918189,,
Other skin and subcutaneous diseases,668,603942,MONDO_0005093,
Other chronic respiratory diseases,520,468777,MONDO_0005087,
Other unspecified infectious diseases,408,256898,MONDO_0005550,
Dietary iron deficiency,390,254820,HP_0001891,
Hepatoblastoma,1005,145191,MONDO_0007256,
Viral skin diseases,660,132468,MONDO_0021201,
Hypertensive heart disease,498,122486,MONDO_0001302,
Edentulism,684,83979,"OBA_2045279,MONDO_0006999",
Other vision loss,1162,82775,"HP_0000572,HP_0000529",
Other malignant neoplasms,489,76479,"MONDO_0024881,MONDO_0024880",
Down syndrome,645,70905,EFO_0022028,
Vitamin A deficiency,389,70442,"OBA_1000996,EFO_0020077",
Maternal hypertensive disorders,369,63796,"HP_0008071,MONDO_0005081,MONDO_0024664",
Other leukemia,943,60750,MONDO_0005059,
Varicella and herpes zoster,342,56603,EFO_0009340,
Benign and in situ intestinal neoplasms,965,46962,MONDO_0005814,
Chronic kidney disease due to other and unspecified causes,593,45145,MONDO_0002473,
Dysthymia,569,35598,MONDO_0001442,
Other benign and in situ neoplasms,1164,29860,"MONDO_0002353,MONDO_0005375,MONDO_0021085,MONDO_0006971,MONDO_0021253",
Retinoblastoma,1009,24788,MONDO_0002236,
Protein-energy malnutrition,387,22398,"EFO_0010810,MONDO_0001371",
Measles,341,21867,MONDO_0004619,
Paralytic ileus and intestinal obstruction,530,20846,MONDO_0004565,
Decubitus ulcer,665,20839,EFO_0007067,
Other nutritional deficiencies,391,18312,"MONDO_0006873,EFO_0920016,MONDO_0001860,MONDO_0042976,MONDO_0024298",
Extensively drug-resistant tuberculosis,947,16687,EFO_0007918,
Latent tuberculosis infection,954,16687,EFO_0803635,
Maternal abortion and miscarriage,995,16099,"EFO_1001491,EFO_1001799,EFO_1001255,MONDO_0006774,HP_0005268",
Trachoma,356,13159,EFO_0009330,
Diphtheria,338,12972,MONDO_0005504,
Liver cancer due to hepatitis B,418,12882,EFO_0008505,
Chronic kidney disease due to hypertension,591,9980,MONDO_0024633,
Other direct maternal disorders,1160,7619,,
Acute hepatitis E,404,7574,EFO_0803683,
Sickle cell trait,838,6515,"EFO_0700066,MONDO_0011382",
Other eye cancers,1010,5603,"MONDO_0021313,EFO_0009093,MONDO_0006200,MONDO_0006486",
Maternal obstructed labor and uterine rupture,370,4730,EFO_0022939,
Other pneumoconiosis,514,4525,MONDO_0015926,
Tension-type headache,548,4357,HP_0012228,
Paratyphoid fever,320,4168,,
Liver cancer due to other causes,421,3955,"MONDO_0003210,MONDO_0019087,MONDO_0007256,MONDO_0001487,MONDO_0003060",
Soft tissue and other extraosseous sarcomas,1011,3446,"MONDO_0005164,MONDO_0005089",
Pertussis,339,3081,"MONDO_0005077,EFO_0803613",
Scabies,658,2243,MONDO_0021201,
Pyoderma,657,2071,HP_0000999,
Other non-Hodgkin lymphoma,1007,2060,"MONDO_0044887,MONDO_0018905,MONDO_0018906",
Tetanus,340,1852,EFO_0010085,
Ebola,843,1745,,
Hookworm disease,363,1745,,
Yellow fever,358,1745,,
Acute hepatitis A,401,1422,"MONDO_0005790,EFO_0803681",
Liver cancer due to hepatitis C,419,1171,EFO_0008505,
Malignant neoplasm of bone and articular cartilage,1012,919,"MONDO_0019060,MONDO_0002129",
Liver cancer due to alcohol use,420,775,MONDO_0043693,
Neural tube defects,642,516,"MONDO_0020705,MONDO_0008449",
G6PD trait,839,466,,
Thalassemias,614,448,MONDO_0000984,
Genital herpes,398,408,MONDO_0005770,
Other sense organ diseases,679,378,"MONDO_0002436,MONDO_0020678,MONDO_0005365",
Larynx cancer,423,341,MONDO_0002352,
Drug-susceptible tuberculosis,934,267,EFO_0007918,
HIV/AIDS - Drug-susceptible Tuberculosis,948,267,,
Gonococcal infection,396,234,,
Motor neuron disease,554,221,MONDO_0020128,
Iodine deficiency,388,209,EFO_0008614,
Near vision loss,981,0,MONDO_0001330,
Non-rheumatic degenerative mitral valve disease,969,0,HP_0001634,
Other direct maternal disorders,1160,7619,MONDO_0005406,
