"cause_name","cause_id","total_attention_score","analysis_type","time_strata"
"Acne vulgaris",661,91635,"all",NA
"Acne vulgaris",661,215,"sliding_3yr",2011
"Acne vulgaris",661,7062,"sliding_3yr",2012
"Acne vulgaris",661,7062,"sliding_3yr",2013
"Acne vulgaris",661,6847,"sliding_3yr",2014
"Acne vulgaris",661,7999,"sliding_3yr",2016
"Acne vulgaris",661,7999,"sliding_3yr",2017
"Acne vulgaris",661,7999,"sliding_3yr",2018
"Acne vulgaris",661,1390,"sliding_3yr",2019
"Acne vulgaris",661,21555,"sliding_3yr",2020
"Acne vulgaris",661,55977,"sliding_3yr",2021
"Acne vulgaris",661,66849,"sliding_3yr",2022
"Acne vulgaris",661,55019,"sliding_3yr",2023
"Acne vulgaris",661,20597,"sliding_3yr",2024
"Acne vulgaris",661,215,"year",2013
"Acne vulgaris",661,6847,"year",2014
"Acne vulgaris",661,7999,"year",2018
"Acne vulgaris",661,1390,"year",2021
"Acne vulgaris",661,20165,"year",2022
"Acne vulgaris",661,34422,"year",2023
"Acne vulgaris",661,12262,"year",2024
"Acne vulgaris",661,8335,"year",2025
"Acute glomerulonephritis",588,717,"all",NA
"Acute glomerulonephritis",588,717,"sliding_3yr",2019
"Acute glomerulonephritis",588,717,"sliding_3yr",2020
"Acute glomerulonephritis",588,717,"sliding_3yr",2021
"Acute glomerulonephritis",588,717,"year",2021
"Acute hepatitis",400,181415,"all",NA
"Acute hepatitis",400,11228,"sliding_3yr",2019
"Acute hepatitis",400,11228,"sliding_3yr",2020
"Acute hepatitis",400,11228,"sliding_3yr",2021
"Acute hepatitis",400,16472,"sliding_3yr",2023
"Acute hepatitis",400,16472,"sliding_3yr",2024
"Acute hepatitis",400,11228,"year",2021
"Acute hepatitis",400,16472,"year",2025
"Acute hepatitis A",401,1422,"all",NA
"Acute hepatitis A",401,330,"sliding_3yr",2019
"Acute hepatitis A",401,330,"sliding_3yr",2020
"Acute hepatitis A",401,330,"sliding_3yr",2021
"Acute hepatitis A",401,1092,"sliding_3yr",2023
"Acute hepatitis A",401,1092,"sliding_3yr",2024
"Acute hepatitis A",401,330,"year",2021
"Acute hepatitis A",401,1092,"year",2025
"Acute hepatitis B",402,78925,"all",NA
"Acute hepatitis B",402,2086,"sliding_3yr",2007
"Acute hepatitis B",402,2086,"sliding_3yr",2008
"Acute hepatitis B",402,6697,"sliding_3yr",2009
"Acute hepatitis B",402,26204,"sliding_3yr",2010
"Acute hepatitis B",402,32756,"sliding_3yr",2011
"Acute hepatitis B",402,29768,"sliding_3yr",2012
"Acute hepatitis B",402,17289,"sliding_3yr",2013
"Acute hepatitis B",402,16112,"sliding_3yr",2014
"Acute hepatitis B",402,15914,"sliding_3yr",2015
"Acute hepatitis B",402,11076,"sliding_3yr",2016
"Acute hepatitis B",402,5701,"sliding_3yr",2017
"Acute hepatitis B",402,8128,"sliding_3yr",2018
"Acute hepatitis B",402,6818,"sliding_3yr",2019
"Acute hepatitis B",402,7359,"sliding_3yr",2020
"Acute hepatitis B",402,3507,"sliding_3yr",2021
"Acute hepatitis B",402,5393,"sliding_3yr",2022
"Acute hepatitis B",402,14911,"sliding_3yr",2023
"Acute hepatitis B",402,14911,"sliding_3yr",2024
"Acute hepatitis B",402,2086,"year",2009
"Acute hepatitis B",402,4611,"year",2011
"Acute hepatitis B",402,21593,"year",2012
"Acute hepatitis B",402,6552,"year",2013
"Acute hepatitis B",402,1623,"year",2014
"Acute hepatitis B",402,9114,"year",2015
"Acute hepatitis B",402,5375,"year",2016
"Acute hepatitis B",402,1425,"year",2017
"Acute hepatitis B",402,4276,"year",2018
"Acute hepatitis B",402,3852,"year",2020
"Acute hepatitis B",402,2966,"year",2021
"Acute hepatitis B",402,541,"year",2022
"Acute hepatitis B",402,4852,"year",2024
"Acute hepatitis B",402,10059,"year",2025
"Acute hepatitis C",403,92072,"all",NA
"Acute hepatitis C",403,2299,"sliding_3yr",2007
"Acute hepatitis C",403,4947,"sliding_3yr",2008
"Acute hepatitis C",403,13045,"sliding_3yr",2009
"Acute hepatitis C",403,13088,"sliding_3yr",2010
"Acute hepatitis C",403,19804,"sliding_3yr",2011
"Acute hepatitis C",403,11706,"sliding_3yr",2012
"Acute hepatitis C",403,9364,"sliding_3yr",2013
"Acute hepatitis C",403,1574,"sliding_3yr",2016
"Acute hepatitis C",403,1574,"sliding_3yr",2017
"Acute hepatitis C",403,8687,"sliding_3yr",2018
"Acute hepatitis C",403,14715,"sliding_3yr",2019
"Acute hepatitis C",403,25288,"sliding_3yr",2020
"Acute hepatitis C",403,18175,"sliding_3yr",2021
"Acute hepatitis C",403,46803,"sliding_3yr",2022
"Acute hepatitis C",403,40459,"sliding_3yr",2023
"Acute hepatitis C",403,40459,"sliding_3yr",2024
"Acute hepatitis C",403,2299,"year",2009
"Acute hepatitis C",403,2648,"year",2010
"Acute hepatitis C",403,8098,"year",2011
"Acute hepatitis C",403,2342,"year",2012
"Acute hepatitis C",403,9364,"year",2013
"Acute hepatitis C",403,1574,"year",2018
"Acute hepatitis C",403,7113,"year",2020
"Acute hepatitis C",403,7602,"year",2021
"Acute hepatitis C",403,10573,"year",2022
"Acute hepatitis C",403,36230,"year",2024
"Acute hepatitis C",403,4229,"year",2025
"Acute hepatitis E",404,7574,"all",NA
"Acute hepatitis E",404,7574,"sliding_3yr",2021
"Acute hepatitis E",404,7574,"sliding_3yr",2022
"Acute hepatitis E",404,7574,"sliding_3yr",2023
"Acute hepatitis E",404,7574,"year",2023
"Acute lymphoid leukemia",845,18671,"all",NA
"Acute lymphoid leukemia",845,1711,"sliding_3yr",2007
"Acute lymphoid leukemia",845,1780,"sliding_3yr",2008
"Acute lymphoid leukemia",845,3476,"sliding_3yr",2009
"Acute lymphoid leukemia",845,1765,"sliding_3yr",2010
"Acute lymphoid leukemia",845,3907,"sliding_3yr",2011
"Acute lymphoid leukemia",845,3480,"sliding_3yr",2012
"Acute lymphoid leukemia",845,3480,"sliding_3yr",2013
"Acute lymphoid leukemia",845,1269,"sliding_3yr",2014
