"GBD.term","total_attention_score","weighted_nhits","weighted_attention_score_impact_factor","weighted_n","nhit"
"Acne vulgaris",19,129.372093005166,77.7411425620067,6.0571516335835,147
"Acute glomerulonephritis",2,0.00465116279069767,0.286511627906977,0.00930232558139535,1
"Acute hepatitis",85,109.388131757518,575.774846741642,28.4387217746871,207
"Acute hepatitis A",3,0,0.399996741742353,0.0110536390665092,0
"Acute hepatitis B",32,56.286440932395,138.247984357259,12.7174845206432,111
"Acute hepatitis C",44,40.6016908251229,433.410580048745,15.1880328680332,71
"Acute hepatitis E",2,12.5,3.20280373831776,0.509345794392523,25
"Acute lymphoid leukemia",18,82.5,276.1055,15.1,90
"Acute myeloid leukemia",17,1754.50117508813,133.639405477999,10.0055357301626,1756
"African trypanosomiasis",0,0,0,0,0
"Age-related and other hearing loss",94,455.258854775821,207.669179423417,30.7475207437719,655
"Age-related macular degeneration",65,315.242644895558,405.101872158994,37.8312666298761,512
"Alcohol use disorders",102,653.033333333333,531.952197134532,56.5606071305875,1077
"Alcoholic cardiomyopathy",0,0,0,0,0
"Alopecia areata",10,43.0092657030183,93.4136087072473,4.00616264757142,54
"Alzheimer's disease and other dementias",2,124,19.3,2,124
"Amphetamine use disorders",0,0,0,0,0
"Anorexia nervosa",105,81.3928571428571,188.3251297086,19.1038912579957,424
"Anxiety disorders",35,1.86133072265686,49.1362100116826,9.41435266010552,31
"Aortic aneurysm",16,0.0701409946567848,0.990686249892188,0.0240266693572318,53
"Appendicitis",54,24.1524888725184,47.4157404792712,5.4366873004352,37
"Asbestosis",0,0,0,0,0
"Ascariasis",0,0,0,0,0
"Asthma",313,1461.57389480937,1560.34303747849,77.4530428043,3157
"Atopic dermatitis",54,675.86732646384,529.073882392299,33.1934475240325,741
"Atrial fibrillation and flutter",88,2185.48200244054,931.373424254868,34.9416632728866,3134
"Attention-deficit/hyperactivity disorder",179,1085.80595240359,718.81286168865,62.1921097467847,2456
"Autism spectrum disorders",9,11.6,44.44,7.2,17
"Bacterial skin diseases",85,0.0316014734479227,5.9830503829816,0.191548509042815,28
"Benign and in situ cervical and uterine neoplasms",3,5,30.8612326043738,1.00198807157058,5
"Benign and in situ intestinal neoplasms",20,0,1.16683208000916,0.0193485895331526,0
"Benign prostatic hyperplasia",46,24.8274745399512,21.2291878782238,3.04077572454048,149
"Bipolar disorder",181,596.145026220818,620.0511559222,54.321044403668,1668
"Bladder cancer",34,9.56950227982309,28.6216775333897,6.827122375764,111
"Blindness and vision loss",425,1366.84912954634,824.285579417595,81.0984777577426,3119
"Brain and central nervous system cancer",28,59.6815187919029,150.769532187198,10.0136039508521,121
"Breast cancer",76,109.183679175251,98.2118377880859,13.9810227561717,614
"Bulimia nervosa",1,11.5,2.75,0.5,23
"Burkitt lymphoma",1,3,11.4,1,3
"Cannabis use disorders",12,82.5857142857143,237.302857142857,8.18571428571429,148
