"Cause Name","total_attention_score","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",661,1,"Number",2023,158963.6966,264072.7742,96656.1327
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",661,1,"Number",2023,405075.0225,670988.0045,244901.4852
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",661,1,"Number",2023,89281.83373,140529.0154,56823.66674
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",661,1,"Number",2023,217157.0078,340880.4312,139348.0395
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",661,1,"Number",2023,127856.8871,207864.9464,78998.05622
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",661,1,"Number",2023,126827.5644,207543.2349,77459.95539
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",661,1,"Number",2023,258282.0336,405723.7766,166603.3053
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",661,1,"Number",2023,46554.61851,74156.57994,28640.85994
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",661,1,"Number",2023,507017.5196,802058.9029,320225.6123
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",661,1,"Number",2023,455899.7272,755280.8943,277018.2837
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",252,"Micronesia",3,"Both",22,"All ages",661,1,"Number",2023,36.92717389,63.27526815,20.97649858
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",661,1,"Number",2023,1170797.664,1904055.213,731822.5136
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",661,1,"Number",2023,1167261.297,1898266.414,729596.6764
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",251,"Melanesia",3,"Both",22,"All ages",661,1,"Number",2023,728.460606,1248.510795,409.697334
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",661,1,"Number",2023,159094.4142,259526.2779,99002.42485
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",661,1,"Number",2023,1170797.664,1904055.213,731822.5136
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",257,"Polynesia",3,"Both",22,"All ages",661,1,"Number",2023,31.46822329,53.90040311,17.68261371
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",661,1,"Number",2023,401550.954,664300.3802,245609.4096
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",661,1,"Number",2023,152343.8853,249446.1888,94231.15283
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",661,1,"Number",2023,113094.3858,187732.8716,69346.81193
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",661,1,"Number",2023,10660.48604,16953.26412,6635.027639
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",661,1,"Number",2023,5371.278562,8465.44952,3387.285391
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",4745,"League of Arab States",3,"Both",22,"All ages",661,1,"Number",2023,96295.47065,158674.3103,57950.91949
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",661,1,"Number",2023,82300.00175,129216.7119,52753.66273
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",661,1,"Number",2023,393013.7647,619734.9563,250424.5932
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",661,1,"Number",2023,353252.8032,585834.3284,209494.3396
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",661,1,"Number",2023,48275.83658,81178.47578,28831.0978
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",661,1,"Number",2023,115544.5855,190720.7809,68679.35185
"Acne vulgaris",578800,2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",661,1,"Number",2023,383379.015,632611.23,232169.0792
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",588,1,"Number",2023,147633.8009,208609.1144,71562.94676
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",588,1,"Number",2023,10228.2324,19556.80489,3878.25418
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",588,1,"Number",2023,19657.92947,22987.39912,17139.28335
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",588,1,"Number",2023,65826.88347,162618.2286,17040.62191
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",588,1,"Number",2023,11221.36631,18084.57039,5811.015713
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",588,1,"Number",2023,20306.63242,25208.67778,16329.08086
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",588,1,"Number",2023,50434.18317,58913.20265,42987.52274
"Acute glomerulonephritis",2146,2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",588,1,"Number",2023,192144.3173,238001.19,131782.6109
