cause_name,cause_id,total_attention_score,analysis_type,time_strata
Acne vulgaris,661,1296804,all,NA
Acne vulgaris,661,215,sliding_3yr,2011
Acne vulgaris,661,13909,sliding_3yr,2012
Acne vulgaris,661,13909,sliding_3yr,2013
Acne vulgaris,661,13694,sliding_3yr,2014
Acne vulgaris,661,23997,sliding_3yr,2016
Acne vulgaris,661,23997,sliding_3yr,2017
Acne vulgaris,661,23997,sliding_3yr,2018
Acne vulgaris,661,5560,sliding_3yr,2019
Acne vulgaris,661,25725,sliding_3yr,2020
Acne vulgaris,661,60147,sliding_3yr,2021
Acne vulgaris,661,79111,sliding_3yr,2022
Acne vulgaris,661,75616,sliding_3yr,2023
Acne vulgaris,661,41194,sliding_3yr,2024
Acne vulgaris,661,215,year,2013
Acne vulgaris,661,13694,year,2014
Acne vulgaris,661,23997,year,2018
Acne vulgaris,661,5560,year,2021
Acne vulgaris,661,20165,year,2022
Acne vulgaris,661,34422,year,2023
Acne vulgaris,661,24524,year,2024
Acne vulgaris,661,16670,year,2025
Acute glomerulonephritis,588,717,all,NA
Acute glomerulonephritis,588,717,sliding_3yr,2019
Acute glomerulonephritis,588,717,sliding_3yr,2020
Acute glomerulonephritis,588,717,sliding_3yr,2021
Acute glomerulonephritis,588,717,year,2021
Acute hepatitis,400,3220552,all,NA
Acute hepatitis,400,26821,sliding_3yr,2019
Acute hepatitis,400,26821,sliding_3yr,2020
Acute hepatitis,400,26821,sliding_3yr,2021
Acute hepatitis,400,16805,sliding_3yr,2023
Acute hepatitis,400,16805,sliding_3yr,2024
Acute hepatitis,400,26821,year,2021
Acute hepatitis,400,16805,year,2025
Acute hepatitis A,401,1422,all,NA
Acute hepatitis A,401,330,sliding_3yr,2019
Acute hepatitis A,401,330,sliding_3yr,2020
Acute hepatitis A,401,330,sliding_3yr,2021
Acute hepatitis A,401,1092,sliding_3yr,2023
Acute hepatitis A,401,1092,sliding_3yr,2024
Acute hepatitis A,401,330,year,2021
Acute hepatitis A,401,1092,year,2025
Acute hepatitis B,402,1009729,all,NA
Acute hepatitis B,402,2086,sliding_3yr,2007
Acute hepatitis B,402,2086,sliding_3yr,2008
Acute hepatitis B,402,11308,sliding_3yr,2009
Acute hepatitis B,402,30815,sliding_3yr,2010
Acute hepatitis B,402,37367,sliding_3yr,2011
Acute hepatitis B,402,29768,sliding_3yr,2012
Acute hepatitis B,402,17289,sliding_3yr,2013
Acute hepatitis B,402,21487,sliding_3yr,2014
Acute hepatitis B,402,21289,sliding_3yr,2015
Acute hepatitis B,402,20727,sliding_3yr,2016
Acute hepatitis B,402,9977,sliding_3yr,2017
Acute hepatitis B,402,19044,sliding_3yr,2018
Acute hepatitis B,402,21941,sliding_3yr,2019
Acute hepatitis B,402,22482,sliding_3yr,2020
Acute hepatitis B,402,11990,sliding_3yr,2021
Acute hepatitis B,402,10245,sliding_3yr,2022
Acute hepatitis B,402,20096,sliding_3yr,2023
Acute hepatitis B,402,20096,sliding_3yr,2024
Acute hepatitis B,402,2086,year,2009
Acute hepatitis B,402,9222,year,2011
Acute hepatitis B,402,21593,year,2012
Acute hepatitis B,402,6552,year,2013
Acute hepatitis B,402,1623,year,2014
Acute hepatitis B,402,9114,year,2015
Acute hepatitis B,402,10750,year,2016
Acute hepatitis B,402,1425,year,2017
Acute hepatitis B,402,8552,year,2018
Acute hepatitis B,402,10492,year,2020
Acute hepatitis B,402,11449,year,2021
Acute hepatitis B,402,541,year,2022
Acute hepatitis B,402,9704,year,2024
Acute hepatitis B,402,10392,year,2025
Acute hepatitis C,403,2192831,all,NA
Acute hepatitis C,403,6897,sliding_3yr,2007
Acute hepatitis C,403,12193,sliding_3yr,2008
Acute hepatitis C,403,52683,sliding_3yr,2009
Acute hepatitis C,403,48128,sliding_3yr,2010
Acute hepatitis C,403,61560,sliding_3yr,2011
Acute hepatitis C,403,21070,sliding_3yr,2012
Acute hepatitis C,403,18728,sliding_3yr,2013
Acute hepatitis C,403,5786,sliding_3yr,2016
Acute hepatitis C,403,5786,sliding_3yr,2017
Acute hepatitis C,403,18693,sliding_3yr,2018
Acute hepatitis C,403,27619,sliding_3yr,2019
Acute hepatitis C,403,48765,sliding_3yr,2020
Acute hepatitis C,403,35858,sliding_3yr,2021
Acute hepatitis C,403,167790,sliding_3yr,2022
Acute hepatitis C,403,150873,sliding_3yr,2023
Acute hepatitis C,403,150873,sliding_3yr,2024
Acute hepatitis C,403,6897,year,2009
Acute hepatitis C,403,5296,year,2010
Acute hepatitis C,403,40490,year,2011
Acute hepatitis C,403,2342,year,2012
Acute hepatitis C,403,18728,year,2013
Acute hepatitis C,403,5786,year,2018
Acute hepatitis C,403,12907,year,2020
Acute hepatitis C,403,14712,year,2021
Acute hepatitis C,403,21146,year,2022
Acute hepatitis C,403,146644,year,2024
Acute hepatitis C,403,4229,year,2025
Acute hepatitis E,404,15148,all,NA
Acute hepatitis E,404,15148,sliding_3yr,2021
Acute hepatitis E,404,15148,sliding_3yr,2022
Acute hepatitis E,404,15148,sliding_3yr,2023
Acute hepatitis E,404,15148,year,2023
Acute lymphoid leukemia,845,307552,all,NA
Acute lymphoid leukemia,845,5133,sliding_3yr,2007
Acute lymphoid leukemia,845,5271,sliding_3yr,2008
Acute lymphoid leukemia,845,6967,sliding_3yr,2009
Acute lymphoid leukemia,845,1834,sliding_3yr,2010
Acute lymphoid leukemia,845,6118,sliding_3yr,2011
Acute lymphoid leukemia,845,6960,sliding_3yr,2012
Acute lymphoid leukemia,845,6960,sliding_3yr,2013
Acute lymphoid leukemia,845,2538,sliding_3yr,2014
Acute lymphoid leukemia,845,203,sliding_3yr,2015
Acute lymphoid leukemia,845,16963,sliding_3yr,2016
Acute lymphoid leukemia,845,16963,sliding_3yr,2017
Acute lymphoid leukemia,845,16760,sliding_3yr,2018
Acute lymphoid leukemia,845,7366,sliding_3yr,2019
Acute lymphoid leukemia,845,7366,sliding_3yr,2020
Acute lymphoid leukemia,845,7366,sliding_3yr,2021
Acute lymphoid leukemia,845,5133,year,2009
Acute lymphoid leukemia,845,138,year,2010
Acute lymphoid leukemia,845,1696,year,2011
Acute lymphoid leukemia,845,0,year,2012
Acute lymphoid leukemia,845,4422,year,2013
Acute lymphoid leukemia,845,2538,year,2014
Acute lymphoid leukemia,845,203,year,2017
Acute lymphoid leukemia,845,16760,year,2018
Acute lymphoid leukemia,845,7366,year,2021
Acute myeloid leukemia,847,188631,all,NA
Acute myeloid leukemia,847,247,sliding_3yr,2011
Acute myeloid leukemia,847,247,sliding_3yr,2012
Acute myeloid leukemia,847,247,sliding_3yr,2013
Acute myeloid leukemia,847,175,sliding_3yr,2015
Acute myeloid leukemia,847,493,sliding_3yr,2016
Acute myeloid leukemia,847,493,sliding_3yr,2017
Acute myeloid leukemia,847,318,sliding_3yr,2018
Acute myeloid leukemia,847,37206,sliding_3yr,2019
Acute myeloid leukemia,847,37206,sliding_3yr,2020
Acute myeloid leukemia,847,37206,sliding_3yr,2021
Acute myeloid leukemia,847,624,sliding_3yr,2022
Acute myeloid leukemia,847,847,sliding_3yr,2023
Acute myeloid leukemia,847,7817,sliding_3yr,2024
Acute myeloid leukemia,847,247,year,2013
Acute myeloid leukemia,847,175,year,2017
