GBD.term,total_attention_score,weighted_nhits,weighted_attention_score_impact_factor,weighted_n,nhit
HIV/AIDS - Drug-susceptible Tuberculosis,0,0,0,0,0
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,0,0,0,0,0
HIV/AIDS - Extensively drug-resistant Tuberculosis,0,0,0,0,0
HIV/AIDS resulting in other diseases,2631,17,13.5549169859515,2553.09961685824,17
Syphilis,0,0,0,0,0
Chlamydial infection,1740,3,2.30491698595147,61.5702426564496,6
Gonococcal infection,0,0,0,0,0
Trichomoniasis,0,0,0,0,0
Genital herpes,42862,0.00117508813160987,1.13674816666455,47.6508162810971,1
Other sexually transmitted infections,33463,0.0599986175433746,1.09872932276336,55.974656895611,2
Latent tuberculosis infection,17450,0.0560747663551402,4.61682242990654,163.084112149533,6
Drug-susceptible tuberculosis,396,1.54166666666667,28.0833333333333,159.708333333333,6
Multidrug-resistant tuberculosis without extensive drug resistance,0,0,0,0,0
Extensively drug-resistant tuberculosis,396,1.54166666666667,28.0833333333333,159.708333333333,6
Lower respiratory infections,1399729,2.31697503857107,27.0319692344712,76606.5821516658,160
Upper respiratory infections,952707,2.06810094565094,10.2516285711584,71692.1864933331,48
Otitis media,243464,32.0906710690364,61.4117086464747,7774.17687834981,40
COVID-19,8810151,2647.38333333333,4285.88666666667,4648882.2,4725
Diarrheal diseases,346185,14.6048803321914,56.3517266735371,16675.1365069782,36
Typhoid fever,16406,1.0046511627907,43.4766488413547,1214.45883182025,2
Paratyphoid fever,0,0,0,0,0
Invasive Non-typhoidal Salmonella (iNTS),351,2,0.2,351,2
Other intestinal infectious diseases,7197,20,1.6,7197,20
Malaria,37296,154,256.313462369504,34610.1528690078,158
Chagas disease,3571,15.0714285714286,20.7857142857143,2903.07142857143,32
Visceral leishmaniasis,32195,1,43.2444444444444,3958,1
Cutaneous and mucocutaneous leishmaniasis,2066,14,25,2066,14
African trypanosomiasis,0,0,0,0,0
Schistosomiasis,0,0,0,0,0
Cysticercosis,0,0,0,0,0
Cystic echinococcosis,0,0,0,0,0
Lymphatic filariasis,2903,2.66666666666667,0.8,967.666666666667,8
Onchocerciasis,0,0,0,0,0
Trachoma,14015,5.03846153846154,9.57521870652712,426.269083875626,6
Dengue,3745,4,43,3745,4
Yellow fever,0,0,0,0,0
Rabies,0,0,0,0,0
Ascariasis,0,0,0,0,0
Trichuriasis,0,0,0,0,0
Hookworm disease,0,0,0,0,0
Food-borne trematodiases,0,0,0,0,0
Leprosy,31310,101.5,287.55,29830,111
Ebola,0,0,0,0,0
Zika virus,29,1,7.4,29,1
Guinea worm disease,0,0,0,0,0
Other neglected tropical diseases,1027,1.5,14.8,598.5,2
Meningitis,19128,4.39969566140946,2.56283672230535,1356.08135771091,29
Encephalitis,1959,2.00117508813161,7.72171725553552,275.611059593061,3
Diphtheria,13513,0,0.4,62.8511627906977,0
Pertussis,20377,0,3.70108222628314,123.998970695028,0
Tetanus,1852,0.2,2.76,370.4,1
Measles,38528,0,0.469306525348557,47.3433620670048,0
Varicella and herpes zoster,25468,0.0384615384615385,1.02530116941882,377.0252766841,1
Acute hepatitis A,3824,0,1.11152018326057,21.3029025732139,0
Acute hepatitis B,63568,17.0044113340863,118.664386120785,38384.0779038616,28
Acute hepatitis C,168219,13.5406719989877,117.837273301431,3449.19991578647,35
Acute hepatitis E,7574,12.5,4.06168224299065,2930.80841121495,25
Other unspecified infectious diseases,1511186,0.0102414998951479,13.9688129409979,35147.6859045075,8
