cause_name,cause_id,level
Acne vulgaris,661,3
Acute glomerulonephritis,588,3
Acute hepatitis A,401,4
Acute hepatitis B,402,4
Acute hepatitis C,403,4
Acute hepatitis E,404,4
Acute lymphoid leukemia,845,4
Acute myeloid leukemia,847,4
African trypanosomiasis,350,3
Age-related and other hearing loss,674,3
Age-related macular degeneration,672,4
Alcohol use disorders,560,3
Alcoholic cardiomyopathy,938,4
Alopecia areata,662,3
Alzheimer's disease and other dementias,543,3
Amphetamine use disorders,564,4
Anorexia nervosa,573,4
Anxiety disorders,571,3
Aortic aneurysm,501,3
Appendicitis,529,3
Asbestosis,512,4
Ascariasis,361,4
Asthma,515,3
Atopic dermatitis,977,4
Atrial fibrillation and flutter,500,3
Attention-deficit/hyperactivity disorder,578,3
Autism spectrum disorders,575,3
Benign and in situ cervical and uterine neoplasms,966,4
Benign and in situ intestinal neoplasms,965,4
Benign prostatic hyperplasia,597,4
Bipolar disorder,570,3
Bladder cancer,474,3
Brain and central nervous system cancer,477,3
Breast cancer,429,3
Bulimia nervosa,574,4
Burkitt lymphoma,1006,4
COVID-19,1048,3
Cannabis use disorders,565,4
Caries of deciduous teeth,681,4
Caries of permanent teeth,682,4
Cataract,671,4
Cellulitis,656,4
Cervical cancer,432,3
Chagas disease,346,3
Chlamydial infection,395,4
Chronic hepatitis B including cirrhosis,522,4
Chronic hepatitis C including cirrhosis,523,4
Chronic kidney disease due to diabetes mellitus type 1,997,4
Chronic kidney disease due to diabetes mellitus type 2,998,4
Chronic kidney disease due to glomerulonephritis,592,4
Chronic kidney disease due to hypertension,591,4
Chronic kidney disease due to other and unspecified causes,593,4
Chronic lymphoid leukemia,846,4
Chronic myeloid leukemia,848,4
Chronic obstructive pulmonary disease,509,3
Cirrhosis and other chronic liver diseases,521,3
Cirrhosis due to alcohol,524,4
Cirrhosis due to other causes,525,4
Coal workers pneumoconiosis,513,4
Cocaine use disorders,563,4
Colon and rectum cancer,441,3
Conduct disorder,579,3
Congenital heart anomalies,643,4
Congenital musculoskeletal and limb anomalies,649,4
Contact dermatitis,978,4
Crohn's disease,1025,4
Cutaneous and mucocutaneous leishmaniasis,349,4
Cystic echinococcosis,353,3
Cysticercosis,352,3
Decubitus ulcer,665,3
Dengue,357,3
Diabetes mellitus type 1,975,4
Diabetes mellitus type 2,976,4
Diarrheal diseases,302,3
Dietary iron deficiency,390,3
Digestive congenital anomalies,651,4
Diphtheria,338,3
Down syndrome,645,4
Drug-susceptible tuberculosis,934,4
Dysthymia,569,4
Ebola,843,3
Ectopic pregnancy,374,4
Edentulism,684,4
Encephalitis,337,3
Endocarditis,503,3
Endometriosis,607,4
Esophageal cancer,411,3
Extensively drug-resistant tuberculosis,947,4
Female infertility,606,4
Food-borne trematodiases,364,3
Fungal skin diseases,659,3
