cause_name,cause_id,total_attention_score,analysis_type,time_strata
Acne vulgaris,661,121202,all,
Acne vulgaris,661,215,sliding_3yr,2011
Acne vulgaris,661,7062,sliding_3yr,2012
Acne vulgaris,661,7062,sliding_3yr,2013
Acne vulgaris,661,6847,sliding_3yr,2014
Acne vulgaris,661,7999,sliding_3yr,2016
Acne vulgaris,661,7999,sliding_3yr,2017
Acne vulgaris,661,7999,sliding_3yr,2018
Acne vulgaris,661,2780,sliding_3yr,2019
Acne vulgaris,661,22945,sliding_3yr,2020
Acne vulgaris,661,57367,sliding_3yr,2021
Acne vulgaris,661,79111,sliding_3yr,2022
Acne vulgaris,661,67281,sliding_3yr,2023
Acne vulgaris,661,48774,sliding_3yr,2024
Acne vulgaris,661,215,year,2013
Acne vulgaris,661,6847,year,2014
Acne vulgaris,661,7999,year,2018
Acne vulgaris,661,2780,year,2021
Acne vulgaris,661,20165,year,2022
Acne vulgaris,661,34422,year,2023
Acne vulgaris,661,24524,year,2024
Acne vulgaris,661,8335,year,2025
Acne vulgaris,661,15915,year,2026
Acute glomerulonephritis,588,117957,all,
Acute glomerulonephritis,588,4137,sliding_3yr,2009
Acute glomerulonephritis,588,4137,sliding_3yr,2010
Acute glomerulonephritis,588,4137,sliding_3yr,2011
Acute glomerulonephritis,588,7658,sliding_3yr,2012
Acute glomerulonephritis,588,15971,sliding_3yr,2013
Acute glomerulonephritis,588,15971,sliding_3yr,2014
Acute glomerulonephritis,588,8313,sliding_3yr,2015
Acute glomerulonephritis,588,2093,sliding_3yr,2016
Acute glomerulonephritis,588,2591,sliding_3yr,2017
Acute glomerulonephritis,588,13283,sliding_3yr,2018
Acute glomerulonephritis,588,30245,sliding_3yr,2019
Acute glomerulonephritis,588,29747,sliding_3yr,2020
Acute glomerulonephritis,588,56096,sliding_3yr,2021
Acute glomerulonephritis,588,48612,sliding_3yr,2022
Acute glomerulonephritis,588,53103,sliding_3yr,2023
Acute glomerulonephritis,588,28470,sliding_3yr,2024
Acute glomerulonephritis,588,4137,year,2011
Acute glomerulonephritis,588,7658,year,2014
Acute glomerulonephritis,588,8313,year,2015
Acute glomerulonephritis,588,2093,year,2018
Acute glomerulonephritis,588,498,year,2019
Acute glomerulonephritis,588,10692,year,2020
Acute glomerulonephritis,588,19055,year,2021
Acute glomerulonephritis,588,37041,year,2023
Acute glomerulonephritis,588,11571,year,2024
Acute glomerulonephritis,588,4491,year,2025
Acute glomerulonephritis,588,12408,year,2026
Acute hepatitis,400,2086,sliding_3yr,2007
