"condition_name","cause_id","gbd_level","parent_name","siblings","n_siblings","is_residual","alias","excluded_alias","scope_note"
"Acne vulgaris","661",3,"Skin and subcutaneous diseases","Alopecia areata | Bacterial skin diseases | Decubitus ulcer | Dermatitis | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria | Viral skin diseases",11,FALSE,NA,NA,NA
"Acute glomerulonephritis","588",3,"Diabetes and kidney diseases","Chronic kidney disease | Diabetes mellitus",2,FALSE,NA,NA,NA
"Acute hepatitis","400",3,"Other infectious diseases","Diphtheria | Encephalitis | Measles | Meningitis | Other unspecified infectious diseases | Pertussis | Tetanus | Varicella and herpes zoster",8,FALSE,NA,NA,NA
"African trypanosomiasis","350",3,"Neglected tropical diseases and malaria","Chagas disease | Cystic echinococcosis | Cysticercosis | Dengue | Ebola | Food-borne trematodiases | Guinea worm disease | Intestinal nematode infections | Leishmaniasis | Leprosy | Lymphatic filariasis | Malaria | Onchocerciasis | Other neglected tropical diseases | Rabies | Schistosomiasis | Trachoma | Yellow fever | Zika virus",19,FALSE,NA,NA,NA
"Age-related and other hearing loss","674",3,"Sense organ diseases","Blindness and vision loss | Other sense organ diseases",2,FALSE,NA,NA,NA
"Alcohol use disorders","560",3,"Substance use disorders","Drug use disorders",1,FALSE,NA,NA,NA
"Alopecia areata","662",3,"Skin and subcutaneous diseases","Acne vulgaris | Bacterial skin diseases | Decubitus ulcer | Dermatitis | Fungal skin diseases | Other skin and subcutaneous diseases | Pruritus | Psoriasis | Scabies | Urticaria | Viral skin diseases",11,FALSE,NA,NA,NA
"Alzheimer's disease and other dementias","543",3,"Neurological disorders","Headache disorders | Idiopathic epilepsy | Motor neuron disease | Multiple sclerosis | Other neurological disorders | Parkinson's disease",6,FALSE,NA,NA,NA
"Anxiety disorders","571",3,"Mental disorders","Attention-deficit/hyperactivity disorder | Autism spectrum disorders | Bipolar disorder | Conduct disorder | Depressive disorders | Eating disorders | Idiopathic developmental intellectual disability | Other mental disorders | Schizophrenia",9,FALSE,NA,NA,NA
"Aortic aneurysm","501",3,"Cardiovascular diseases","Atrial fibrillation and flutter | Cardiomyopathy and myocarditis | Endocarditis | Hypertensive heart disease | Ischemic heart disease | Lower extremity peripheral arterial disease | Non-rheumatic valvular heart disease | Other cardiovascular and circulatory diseases | Pulmonary Arterial Hypertension | Rheumatic heart disease | Stroke",11,FALSE,NA,NA,NA
