"gbd_condition","ontology_id","channels","channel_details"
"Acne vulgaris","MONDO:0011438","legacy_first_part|lexical","search='Acne vulgaris' label='acne' ;; source_col=EFO 3 raw=MONDO:0011438"
"Acute glomerulonephritis","MONDO:0001166","lexical","search='Acute glomerulonephritis' label='nephritis'"
"Acute glomerulonephritis","MONDO:0002462","lexical","search='Acute glomerulonephritis' label='glomerulonephritis'"
"Acute hepatitis","HP:0012115","lexical","search='Acute hepatitis' label='Hepatitis'"
"Acute hepatitis","MONDO:0100370","lexical","search='Acute hepatitis' label='acute hepatitis B virus infection'"
"Acute hepatitis A","HP:0012115","lexical","search='Acute hepatitis A' label='Hepatitis'"
"Acute hepatitis B","HP:0012115","lexical","search='Acute hepatitis B' label='Hepatitis'"
"Acute hepatitis B","MONDO:0100370","legacy_first_part|lexical","search='Acute hepatitis B' label='acute hepatitis B virus infection' ;; source_col=EFO 1 raw=MONDO:0100370"
"Acute hepatitis C","HP:0012115","lexical","search='Acute hepatitis C' label='Hepatitis'"
"Acute hepatitis E","HP:0012115","lexical","search='Acute hepatitis E' label='Hepatitis'"
"Acute lymphoid leukemia","MONDO:0004967","legacy_first_part","source_col=EFO 4 raw=MONDO:0004967"
"Acute lymphoid leukemia","MONDO:0005059","lexical","search='Acute lymphoid leukemia' label='leukemia'"
"Acute lymphoid leukemia","MONDO:0005402","lexical","search='Acute lymphoid leukemia' label='lymphoid leukemia'"
"Acute myeloid leukemia","MONDO:0004643","lexical","search='Acute myeloid leukemia' label='myeloid leukemia'"
"Acute myeloid leukemia","MONDO:0005059","lexical","search='Acute myeloid leukemia' label='leukemia'"
"Acute myeloid leukemia","MONDO:0018874","legacy_first_part|lexical","search='Acute myeloid leukemia' label='acute myeloid leukemia' ;; source_col=EFO 2 raw=MONDO:0018874"
"Age-related macular degeneration","MONDO:0003004","lexical","search='Age-related macular degeneration' label='macular degeneration'"
