"gbd_condition","ontology_id","channels","channel_details"
"Acne vulgaris","EFO:1001271","embedding","sim=0.8677 rank=8 label='Atrophic Vaginitis'"
"Acne vulgaris","EFO:1001494","embedding","sim=0.9322 rank=1 label='psoriasis vulgaris'"
"Acne vulgaris","MONDO:0001551","embedding","sim=0.8819 rank=3 label='ulceration of vulva'"
"Acne vulgaris","MONDO:0005215","embedding","sim=0.8623 rank=10 label='vulvar carcinoma'"
"Acne vulgaris","MONDO:0006545","embedding","sim=0.87 rank=6 label='erythema multiforme'"
"Acne vulgaris","MONDO:0006617","embedding","sim=0.8679 rank=7 label='vesiculobullous skin disease'"
"Acne vulgaris","MONDO:0007019","embedding","sim=0.8734 rank=4 label='vulvovaginitis'"
"Acne vulgaris","MONDO:0008219","embedding","sim=0.9296 rank=2 label='pemphigus vulgaris'"
"Acne vulgaris","MONDO:0011438","",""
"Acne vulgaris","MONDO:0019170","embedding","sim=0.8716 rank=5 label='polyarteritis nodosa'"
"Acne vulgaris","MONDO:0020576","embedding","sim=0.8652 rank=9 label='cutaneous vasculitis'"
"Acute glomerulonephritis","HP:0004729","embedding","sim=0.8997 rank=9 label='Acute tubulointerstitial nephritis'"
"Acute glomerulonephritis","HP:0004743","embedding","sim=0.8963 rank=10 label='Chronic tubulointerstitial nephritis'"
"Acute glomerulonephritis","MONDO:0001085","embedding","sim=0.9068 rank=7 label='interstitial nephritis'"
"Acute glomerulonephritis","MONDO:0001166","",""
"Acute glomerulonephritis","MONDO:0002461","embedding","sim=0.9556 rank=5 label='membranoproliferative glomerulonephritis'"
"Acute glomerulonephritis","MONDO:0002462","embedding","sim=0.9895 rank=1 label='glomerulonephritis'"
"Acute glomerulonephritis","MONDO:0003134","embedding","sim=0.9768 rank=2 label='proliferative glomerulonephritis'"
"Acute glomerulonephritis","MONDO:0005342","embedding","sim=0.975 rank=3 label='IgA glomerulonephritis'"
"Acute glomerulonephritis","MONDO:0005376","embedding","sim=0.9694 rank=4 label='membranous glomerulonephritis'"
"Acute glomerulonephritis","MONDO:0019722","embedding","sim=0.9011 rank=8 label='glomerular disorder'"
"Acute glomerulonephritis","MONDO:0100313","embedding","sim=0.9236 rank=6 label='focal segmental glomerulosclerosis'"
"Acute hepatitis","EFO:0007540","embedding","sim=0.9479 rank=5 label='animal viral hepatitis'"
"Acute hepatitis","EFO:0008496","embedding","sim=0.978 rank=1 label='chronic hepatitis'"
"Acute hepatitis","HP:0001399","embedding","sim=0.9298 rank=8 label='Hepatic failure'"
"Acute hepatitis","HP:0012115","embedding","sim=0.9732 rank=3 label='Hepatitis'"
"Acute hepatitis","MONDO:0001505","embedding","sim=0.9693 rank=4 label='alcoholic hepatitis'"
"Acute hepatitis","MONDO:0005231","embedding","sim=0.9289 rank=10 label='hepatitis C virus infection'"
"Acute hepatitis","MONDO:0005354","embedding","sim=0.9289 rank=9 label='chronic hepatitis C virus infection'"
"Acute hepatitis","MONDO:0005790","embedding","sim=0.9366 rank=6 label='hepatitis A virus infection'"
"Acute hepatitis","MONDO:0006011","embedding","sim=0.9762 rank=2 label='viral hepatitis'"
"Acute hepatitis","MONDO:0100370","embedding","sim=0.931 rank=7 label='acute hepatitis B virus infection'"
"Acute hepatitis A","EFO:0007540","embedding","sim=0.9491 rank=6 label='animal viral hepatitis'"
"Acute hepatitis A","EFO:0008496","embedding","sim=0.9627 rank=2 label='chronic hepatitis'"
"Acute hepatitis A","HP:0012115","embedding","sim=0.9521 rank=5 label='Hepatitis'"
"Acute hepatitis A","MONDO:0001505","embedding","sim=0.9582 rank=3 label='alcoholic hepatitis'"
"Acute hepatitis A","MONDO:0005231","embedding","sim=0.9388 rank=10 label='hepatitis C virus infection'"
"Acute hepatitis A","MONDO:0005354","embedding","sim=0.9409 rank=8 label='chronic hepatitis C virus infection'"
"Acute hepatitis A","MONDO:0005366","embedding","sim=0.9396 rank=9 label='chronic hepatitis B virus infection'"
"Acute hepatitis A","MONDO:0005790","embedding","sim=0.9523 rank=4 label='hepatitis A virus infection'"
"Acute hepatitis A","MONDO:0006011","embedding","sim=0.9631 rank=1 label='viral hepatitis'"
"Acute hepatitis A","MONDO:0100370","embedding","sim=0.9478 rank=7 label='acute hepatitis B virus infection'"
"Acute hepatitis B","EFO:0007540","embedding","sim=0.9465 rank=10 label='animal viral hepatitis'"
"Acute hepatitis B","EFO:0008496","embedding","sim=0.9579 rank=5 label='chronic hepatitis'"
"Acute hepatitis B","HP:0012115","",""
"Acute hepatitis B","MONDO:0001505","embedding","sim=0.9475 rank=9 label='alcoholic hepatitis'"
"Acute hepatitis B","MONDO:0005231","embedding","sim=0.9477 rank=8 label='hepatitis C virus infection'"
"Acute hepatitis B","MONDO:0005344","embedding","sim=0.9583 rank=4 label='hepatitis B virus infection'"
"Acute hepatitis B","MONDO:0005354","embedding","sim=0.9516 rank=6 label='chronic hepatitis C virus infection'"
"Acute hepatitis B","MONDO:0005366","embedding","sim=0.9605 rank=3 label='chronic hepatitis B virus infection'"
"Acute hepatitis B","MONDO:0005790","embedding","sim=0.9508 rank=7 label='hepatitis A virus infection'"
"Acute hepatitis B","MONDO:0006011","embedding","sim=0.9605 rank=2 label='viral hepatitis'"
"Acute hepatitis B","MONDO:0100370","embedding","sim=0.9683 rank=1 label='acute hepatitis B virus infection'"
"Acute hepatitis C","EFO:0007540","embedding","sim=0.9464 rank=10 label='animal viral hepatitis'"
"Acute hepatitis C","EFO:0008496","embedding","sim=0.966 rank=2 label='chronic hepatitis'"
"Acute hepatitis C","HP:0012115","embedding","sim=0.9477 rank=9 label='Hepatitis'"
"Acute hepatitis C","MONDO:0001505","embedding","sim=0.9516 rank=6 label='alcoholic hepatitis'"
"Acute hepatitis C","MONDO:0005231","embedding","sim=0.9576 rank=4 label='hepatitis C virus infection'"
"Acute hepatitis C","MONDO:0005354","embedding","sim=0.9608 rank=3 label='chronic hepatitis C virus infection'"
"Acute hepatitis C","MONDO:0005366","embedding","sim=0.9508 rank=7 label='chronic hepatitis B virus infection'"
"Acute hepatitis C","MONDO:0005790","embedding","sim=0.9504 rank=8 label='hepatitis A virus infection'"
"Acute hepatitis C","MONDO:0006011","embedding","sim=0.966 rank=1 label='viral hepatitis'"
"Acute hepatitis C","MONDO:0100370","embedding","sim=0.9573 rank=5 label='acute hepatitis B virus infection'"
"Acute hepatitis E","EFO:0007540","embedding","sim=0.9501 rank=4 label='animal viral hepatitis'"
"Acute hepatitis E","EFO:0008496","embedding","sim=0.9612 rank=1 label='chronic hepatitis'"
"Acute hepatitis E","HP:0012115","embedding","sim=0.9487 rank=5 label='Hepatitis'"
"Acute hepatitis E","MONDO:0001505","embedding","sim=0.9612 rank=2 label='alcoholic hepatitis'"
"Acute hepatitis E","MONDO:0005231","embedding","sim=0.9296 rank=9 label='hepatitis C virus infection'"
"Acute hepatitis E","MONDO:0005354","embedding","sim=0.9329 rank=8 label='chronic hepatitis C virus infection'"
"Acute hepatitis E","MONDO:0005366","embedding","sim=0.9291 rank=10 label='chronic hepatitis B virus infection'"
"Acute hepatitis E","MONDO:0005790","embedding","sim=0.9333 rank=7 label='hepatitis A virus infection'"
"Acute hepatitis E","MONDO:0006011","embedding","sim=0.961 rank=3 label='viral hepatitis'"
"Acute hepatitis E","MONDO:0100370","embedding","sim=0.936 rank=6 label='acute hepatitis B virus infection'"
"Acute lymphoid leukemia","MONDO:0000870","embedding","sim=0.9619 rank=7 label='childhood acute lymphoblastic leukemia'"
"Acute lymphoid leukemia","MONDO:0000871","embedding","sim=0.9455 rank=9 label='T-cell childhood acute lymphocytic leukemia'"
"Acute lymphoid leukemia","MONDO:0004600","embedding","sim=0.9625 rank=6 label='monocytic leukemia'"
"Acute lymphoid leukemia","MONDO:0004643","embedding","sim=0.963 rank=4 label='myeloid leukemia'"
"Acute lymphoid leukemia","MONDO:0004947","embedding","sim=0.9479 rank=8 label='B-cell acute lymphoblastic leukemia'"
"Acute lymphoid leukemia","MONDO:0004948","embedding","sim=0.9397 rank=10 label='B-cell chronic lymphocytic leukemia'"
"Acute lymphoid leukemia","MONDO:0004967","embedding","sim=0.9829 rank=2 label='acute lymphoblastic leukemia'"
"Acute lymphoid leukemia","MONDO:0005059","",""
"Acute lymphoid leukemia","MONDO:0005402","embedding","sim=0.9867 rank=1 label='lymphoid leukemia'"
"Acute lymphoid leukemia","MONDO:0011996","embedding","sim=0.9627 rank=5 label='chronic myeloid leukemia'"
"Acute lymphoid leukemia","MONDO:0018874","embedding","sim=0.9741 rank=3 label='acute myeloid leukemia'"
"Acute myeloid leukemia","MONDO:0000870","embedding","sim=0.9458 rank=7 label='childhood acute lymphoblastic leukemia'"
"Acute myeloid leukemia","MONDO:0000871","embedding","sim=0.9232 rank=9 label='T-cell childhood acute lymphocytic leukemia'"
"Acute myeloid leukemia","MONDO:0004600","embedding","sim=0.9599 rank=6 label='monocytic leukemia'"
"Acute myeloid leukemia","MONDO:0004643","embedding","sim=0.9876 rank=3 label='myeloid leukemia'"
"Acute myeloid leukemia","MONDO:0004947","embedding","sim=0.9321 rank=8 label='B-cell acute lymphoblastic leukemia'"
"Acute myeloid leukemia","MONDO:0004948","embedding","sim=0.9201 rank=10 label='B-cell chronic lymphocytic leukemia'"
"Acute myeloid leukemia","MONDO:0004967","embedding","sim=0.9657 rank=4 label='acute lymphoblastic leukemia'"
"Acute myeloid leukemia","MONDO:0005059","",""
"Acute myeloid leukemia","MONDO:0005402","embedding","sim=0.9636 rank=5 label='lymphoid leukemia'"
"Acute myeloid leukemia","MONDO:0011996","embedding","sim=0.9916 rank=2 label='chronic myeloid leukemia'"
"Acute myeloid leukemia","MONDO:0018874","embedding","sim=1 rank=1 label='acute myeloid leukemia'"
"African trypanosomiasis","EFO:0005530","embedding","sim=0.8903 rank=5 label='Trypanosoma cruzi seropositivity'"
"African trypanosomiasis","EFO:0009087","embedding","sim=0.8878 rank=7 label='non-typhoidal Salmonella bacteremia'"
"African trypanosomiasis","EFO:0803248","embedding","sim=0.8912 rank=4 label='versican core protein measurement'"
"African trypanosomiasis","EFO:0803645","embedding","sim=0.8856 rank=10 label='ralstonia solanacearum seropositivity'"
"African trypanosomiasis","MONDO:0005445","embedding","sim=0.8917 rank=3 label='visceral leishmaniasis'"
"African trypanosomiasis","MONDO:0005446","embedding","sim=0.8857 rank=8 label='cutaneous leishmaniasis'"
"African trypanosomiasis","MONDO:0005715","embedding","sim=0.9035 rank=1 label='congenital toxoplasmosis'"
"African trypanosomiasis","MONDO:0006752","embedding","sim=0.8968 rank=2 label='Erysipelothrix rhusiopathiae infectious disease'"
"African trypanosomiasis","MONDO:0019324","embedding","sim=0.8856 rank=9 label='pemphigus foliaceus'"
"African trypanosomiasis","MONDO:0021839","embedding","sim=0.8885 rank=6 label='spirochaetales infections'"
"Age-related and other hearing loss","EFO:0007654","embedding","sim=0.8872 rank=10 label='clinical and behavioural ideal cardiovascular health'"
"Age-related and other hearing loss","EFO:0009936","embedding","sim=0.8896 rank=8 label='Drugs affecting bone structure and mineralization use measurement'"
"Age-related and other hearing loss","HP:0000405","embedding","sim=0.8997 rank=3 label='Conductive hearing impairment'"
"Age-related and other hearing loss","HP:0000407","embedding","sim=0.8916 rank=7 label='Sensorineural hearing impairment'"
"Age-related and other hearing loss","HP:0011141","embedding","sim=0.8986 rank=4 label='Age-related cataract'"
"Age-related and other hearing loss","HP:0011142","embedding","sim=0.9035 rank=2 label='Age-related nuclear cataract'"
"Age-related and other hearing loss","MONDO:0005365","embedding","sim=0.8948 rank=5 label='hearing loss disorder'"
"Age-related and other hearing loss","MONDO:0013098","embedding","sim=0.9178 rank=1 label='noise induced hearing loss'"
"Age-related and other hearing loss","MONDO:0020678","embedding","sim=0.8936 rank=6 label='sensorineural hearing loss disorder'"
"Age-related and other hearing loss","MONDO:0021698","embedding","sim=0.8895 rank=9 label='alcohol-related disorders'"
"Age-related macular degeneration","EFO:1001492","embedding","sim=0.9573 rank=3 label='atrophic macular degeneration'"
"Age-related macular degeneration","HP:0011141","embedding","sim=0.92 rank=8 label='Age-related cataract'"
"Age-related macular degeneration","HP:0011142","embedding","sim=0.9196 rank=9 label='Age-related nuclear cataract'"
"Age-related macular degeneration","MONDO:0001660","embedding","sim=0.9188 rank=10 label='proliferative diabetic retinopathy'"
"Age-related macular degeneration","MONDO:0003004","embedding","sim=0.9538 rank=4 label='macular degeneration'"
"Age-related macular degeneration","MONDO:0004580","embedding","sim=0.9341 rank=6 label='retinal degeneration'"
"Age-related macular degeneration","MONDO:0004728","embedding","sim=0.9225 rank=7 label='diabetic macular edema'"
"Age-related macular degeneration","MONDO:0005150","embedding","sim=1 rank=1 label='age-related macular degeneration'"
"Age-related macular degeneration","MONDO:0005417","embedding","sim=0.9459 rank=5 label='wet macular degeneration'"
"Age-related macular degeneration","MONDO:0100114","embedding","sim=0.9639 rank=2 label='dry age related macular degeneration'"
"Alcohol use disorders","EFO:0007585","embedding","sim=0.9273 rank=8 label='Cannabis use'"
"Alcohol use disorders","EFO:0007586","embedding","sim=0.9338 rank=6 label='Cannabis use initiation'"
"Alcohol use disorders","EFO:0007835","embedding","sim=0.9328 rank=7 label='alcohol dependence measurement'"
"Alcohol use disorders","EFO:0009458","embedding","sim=0.95 rank=2 label='alcohol use disorder measurement'"
"Alcohol use disorders","EFO:0010445","embedding","sim=0.9434 rank=3 label='cocaine use disorder'"
"Alcohol use disorders","HP:0030955","embedding","sim=0.9241 rank=10 label='Addictive alcohol use'"
"Alcohol use disorders","MONDO:0002046","embedding","sim=0.938 rank=5 label='alcohol abuse'"
"Alcohol use disorders","MONDO:0007079","embedding","sim=0.9401 rank=4 label='alcohol dependence'"
"Alcohol use disorders","MONDO:0021698","embedding","sim=0.9599 rank=1 label='alcohol-related disorders'"
