cause_name,cause_id,reference_score,mapped_trait_uri,notes
Liver cancer due to NASH,996,918189,,
Other musculoskeletal disorders,639,208920,,
Multidrug-resistant tuberculosis without extensive drug resistance,946,16687,,
Coal workers pneumoconiosis,513,4525,,
Paratyphoid fever,320,4168,,
Ebola,843,1745,,
Hookworm disease,363,1745,,
Yellow fever,358,1745,,
G6PD trait,839,466,,
HIV/AIDS - Drug-susceptible Tuberculosis,948,267,,
Gonococcal infection,396,234,,
African trypanosomiasis,350,0,,
Asbestosis,512,0,,
Ascariasis,361,0,,
Cystic echinococcosis,353,0,,
Cysticercosis,352,0,,
Food-borne trematodiases,364,0,,
G6PD deficiency,616,0,,
Guinea worm disease,936,0,,
HIV/AIDS - Extensively drug-resistant Tuberculosis,950,0,,
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,949,0,,
Indirect maternal deaths,375,0,,
Klinefelter syndrome,647,0,,
Late maternal deaths,376,0,,
Maternal deaths aggravated by HIV/AIDS,741,0,,
Onchocerciasis,355,0,,
Rabies,359,0,,
Schistosomiasis,351,0,,
Silicosis,511,0,,
Sudden infant death syndrome,686,0,,
Syphilis,394,0,,
Trichomoniasis,397,0,,
Trichuriasis,362,0,,
Turner syndrome,646,0,,
